CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study
Inh_L2-5_VIP_TYR,2,0.2948,1.0369004954866754,0.3493289914413246,UMI:Ex1,AIBS2019
Inh_L2-6_LAMP5_CA1,2,0.2821,1.0391886336832274,0.4733800260510624,UMI:Ex1,AIBS2019
Inh_L2-6_VIP_QPCT,2,0.6157,0.9634798655878212,-0.37320048607857514,UMI:Ex1,AIBS2019
Inh_L3-5_SST_ADGRG6,2,0.1362,1.0766360330928357,1.0719361285941296,UMI:Ex1,AIBS2019
Inh_L3-6_SST_HPGD,2,0.2201,1.0492366713245451,0.581404385450154,UMI:Ex1,AIBS2019
Inh_L3-6_SST_NPY,2,0.8565,0.8666412129059641,-1.0002974861555378,UMI:Ex1,AIBS2019
Inh_L3-6_VIP_HS3ST3A1,2,0.5065,0.98352878822162,-0.17285181588828138,UMI:Ex1,AIBS2019
Inh_L4-5_PVALB_MEPE,2,0.9358,0.9023358144453982,-1.3164203466828668,UMI:Ex1,AIBS2019
Inh_L4-5_SST_STK32A,2,0.5623,0.975263354235822,-0.2734515744481899,UMI:Ex1,AIBS2019
Inh_L4-6_PVALB_SULF1,2,0.7913,0.9535646352041685,-0.8171786619570645,UMI:Ex1,AIBS2019
Inh_L4-6_SST_B3GAT2,2,0.306,1.02651790639857,0.39412941266503215,UMI:Ex1,AIBS2019
Inh_L4-6_SST_GXYLT2,2,0.0846,1.1486905931888132,1.4816739882348535,UMI:Ex1,AIBS2019
Inh_L5-6_GAD1_GLP1R,2,0.9893,0.7980117097084847,-1.622807521861167,UMI:Ex1,AIBS2019
Inh_L5-6_PVALB_LGR5,2,0.9777,0.8439989473497049,-1.6205021545164369,UMI:Ex1,AIBS2019
Inh_L5-6_SST_KLHDC8A,2,0.2987,1.0342368157995752,0.2936289261304495,UMI:Ex1,AIBS2019
Inh_L5-6_SST_MIR548F2,2,0.859,0.9102159683050758,-0.9388296686248998,UMI:Ex1,AIBS2019
Inh_L5-6_SST_NPM1P10,2,0.1682,1.0733894179839458,0.8019423193112841,UMI:Ex1,AIBS2019
Inh_L5-6_SST_TH,2,0.3324,1.0203077568488494,0.1840964709672864,UMI:Ex1,AIBS2019
Micro_L1-3_TYROBP,2,1,0.1691652849745288,-3.8986495941139,UMI:Ex1,AIBS2019
OPC_L1-6_PDGFRA,2,1,0.5189259089857796,-3.5893172636768282,UMI:Ex1,AIBS2019
Oligo_L1-6_OPALIN,2,1,0.2166329344607518,-4.2460576316055025,UMI:Ex1,AIBS2019
Astro_L1-2_FGFR3_GFAP,2,1,0.3876397708356529,-3.1603608302175275,UMI:Ex2,AIBS2019
Astro_L1-6_FGFR3_SLC14A1,2,1,0.40372491455193676,-3.615633504699984,UMI:Ex2,AIBS2019
Endo_L2-6_NOSTRIN,2,0.9998,0.30190415666056,-2.7048038425192154,UMI:Ex2,AIBS2019
Exc_L2-3_LINC00507_FREM3,2,0,1.8650253806861965,14.413148136253428,UMI:Ex2,AIBS2019
Exc_L2-4_LINC00507_GLP2R,2,1e-4,1.6436835124786824,7.131559787931645,UMI:Ex2,AIBS2019
Exc_L2_LAMP5_LTK,2,0,1.6135216393384808,8.351075764539914,UMI:Ex2,AIBS2019
Exc_L3-4_RORB_CARM1P1,2,0,2.029988189043385,13.498026313819006,UMI:Ex2,AIBS2019
Exc_L3-5_RORB_COL22A1,2,0,1.7016828797611772,7.541613565029361,UMI:Ex2,AIBS2019
Exc_L3-5_RORB_ESR1,2,0,1.6149099948701537,8.640190991482722,UMI:Ex2,AIBS2019
